epoch,seconds,loss_D,loss_D_real,loss_D_fake,loss_G,loss_G_GAN,loss_G_L1,val_mae,val_psnr,val_ssim
1,257.43,0.6534425816365651,0.6466820525271552,0.6602031103202275,32.77400038582938,1.1568602800369263,0.31617140024900436,0.16659216868380705,14.057479698185217,0.244762626166145
2,271.02,0.5007508328982762,0.49434988498687743,0.5071517801710538,31.082971818106515,1.449815492119108,0.2963315599731037,0.16781044751405716,13.810468082006865,0.25220037177205085
3,259.21,0.4434275697384562,0.4369261978992394,0.44992894040686743,30.909924071175713,1.5538609198161535,0.29356063455343245,0.16526127097507318,14.096074328850534,0.26319499760866166
4,219.49,0.3224612221121788,0.32915199579937116,0.31577044736061777,31.063030215672086,2.025036495072501,0.290379937844617,0.16406773291528226,13.993194205609704,0.2276015752305587
5,234.61,0.32295148319431716,0.3353430189192295,0.3105599459260702,30.845169939313617,2.1105992700372425,0.28734570826802935,0.22790978190799555,11.605805164852404,0.20189840160310268
6,204.93,0.29824734681418963,0.3031471968761512,0.2933474978165967,31.56927397591727,2.359673036847796,0.29209601006337577,0.16839571905632814,13.638173291469611,0.19148406200110912
7,221.37,0.36692573066268647,0.36516197765512126,0.3686894855595061,30.808023480006625,2.2381666383572987,0.2856985690338271,0.16404448139170805,13.978605265147065,0.22824898896118004
8,206.42,0.36295866540500094,0.39883379679439324,0.32708353522632805,30.233832005092076,2.181385382584163,0.2805244654417038,0.17410240763177473,13.354162370506193,0.18160865940153598
9,219.46,0.37795328785266197,0.38638527882950646,0.36952129820627827,30.117907442365375,2.1407258783067977,0.2797718163047518,0.16072161191453535,14.022063885349237,0.23390679893394312
10,213.08,0.4204212171690805,0.4363156443727868,0.40452678884778703,29.576299694606234,1.9295154477868761,0.27646784250225337,0.15951702768603962,14.045517714830153,0.2503651810189088
11,176.43,0.3532054707407951,0.36146499876465116,0.3449459441538368,29.137577492850166,1.9786077080028397,0.2715896961944444,0.16296559299031893,13.85929980603049,0.2396858756740888
12,230.8,0.42641293108463285,0.46431925649355565,0.3885066130331584,28.395438058035715,1.9398202134030207,0.2645561797278268,0.1551728198925654,14.287436608115055,0.24282572902739047
13,218.05,0.4156166700380189,0.4193578372310315,0.4118755082998957,28.18916309901646,1.9247144677809307,0.2626444861292839,0.150787033016483,14.46091703175563,0.2677130704124769
14,219.57,0.46051949901240213,0.48514571344213825,0.43589328112346787,27.48044695172991,1.7633608187947953,0.25717086366244724,0.16433064627150695,13.628003466038775,0.2268859160443147
15,239.7,0.4602006332150527,0.47038554617735956,0.4500157222151756,26.612532315935407,1.7153944296496255,0.24897138071911676,0.1570022337138653,14.107603246653817,0.2497501420478026
16,239.7,0.4277262970805168,0.44714767979457976,0.40830491440636774,26.071334866115023,1.6923457401139395,0.24378989168575832,0.1717213859160741,13.319522542427624,0.2071974808971087
17,205.55,0.46342782293047224,0.4926048880176885,0.4342507634844099,25.59751829419817,1.6879872903227806,0.23909531150545393,0.15955799967050552,13.86377000049487,0.24295587440331776
18,216.57,0.4286813568856035,0.4357347737199494,0.4216279352349894,25.297462272644044,1.6823461204767227,0.23615116285426277,0.1516268472497662,14.375723791361512,0.25484971354405084
19,218.67,0.4884036536727633,0.5326974443559136,0.4441098674067429,24.854554966517856,1.6461491746561867,0.23208405886377606,0.1505033856878678,14.49221675322274,0.26876705686251323
20,202.32,0.4495608793837684,0.4520371460156249,0.44708461186715537,24.39381228855678,1.6481723670448576,0.22745639915977206,0.15106132104992867,14.494274207781679,0.26452126329143844
21,233.61,0.5165836372545787,0.5530818062568349,0.4800854706338474,24.07967905317034,1.5174783566168377,0.2256220063992909,0.1540518172085285,14.234498421289015,0.26088040843606
22,242.19,0.4305489931787763,0.43738398418894836,0.42371400163642,23.710546902247838,1.6340142416102545,0.22076532649142402,0.14810526880125205,14.550734573089205,0.26814164891839026
23,237.87,0.4724219077399799,0.5025576788266854,0.44228613461766925,23.31044445037842,1.5905671945640019,0.2171987723026957,0.1496438231319189,14.471059605866627,0.26819635927677155
24,196.88,0.49446100784199576,0.5060904650948942,0.4828315519328628,23.005923925127302,1.6134916739804404,0.2139243232352393,0.1517578212544322,14.372069778886662,0.2593475004037221
25,201.24,0.4623056347881045,0.4884081250455763,0.43620314257485526,22.941603088378905,1.5204897450549262,0.21421113588980267,0.15192394865055878,14.360768703290175,0.2574416567881902
26,203.03,0.4890572773558753,0.5286561415929879,0.4494584162852594,22.74730761391776,1.554111436860902,0.21193196156195232,0.15271376942594847,14.427409185618107,0.24491451705495518
27,204.57,0.5009059554764203,0.5131256059078234,0.4886863072003637,22.21648120880127,1.5319625011512212,0.2068451872893742,0.1486681462575992,14.544370733802657,0.25765931233763695
28,231.89,0.47557884614382473,0.5034940757123487,0.4476636215512242,21.983117158072336,1.4999788207667215,0.20483138305800302,0.15658712163567542,14.109977149507369,0.23793664400776227
29,258.56,0.5030032385672841,0.5166865004226565,0.48931997801576343,21.830896295819965,1.5073795405881745,0.20323516683919088,0.15361385171612105,14.393919177804971,0.24173370773593586
30,225.61,0.47570374352591377,0.4914316025163446,0.45997588788824423,21.68061468941825,1.502383314711707,0.20178231490509851,0.15992648924390476,13.888579034317075,0.22910449430346488
31,194.92,0.48407497853040693,0.4938733001904828,0.47427666357585363,21.263295827593122,1.490228796856744,0.19773067214659282,0.1511788833886385,14.479308597032022,0.24985969041784603
32,223.88,0.5039884577904429,0.5495668465138546,0.45841007073010714,21.219173213413782,1.457965156861714,0.19761208082948412,0.1520955229798953,14.441913037916438,0.2443957060575485
33,234.1,0.4758803303752627,0.49755919041511204,0.45420146674982137,20.949415724618095,1.5171820206301554,0.19432233635868346,0.15029003322124482,14.495654032649032,0.2595522038638592
34,268.52,0.4701165261013167,0.4888031426085425,0.4514299035604511,20.726201289040702,1.494864997267723,0.19231336457388742,0.15270327118535837,14.318804989527674,0.23845775673786798
35,425.62,0.48498450964689255,0.5043679246545902,0.4656010939074414,20.455079800742013,1.480074291569846,0.18975005575588771,0.15104833655059338,14.41577601376547,0.24110956539710363
36,241.34,0.49188720285892484,0.5177800176399094,0.46599438967449325,20.62203859601702,1.4874536982604436,0.19134585048471178,0.1605439287920793,13.869668207889083,0.21667995279033977
37,248.64,0.48203400543757846,0.5007326564219381,0.463335356009858,20.119718647003175,1.5213288773383413,0.18598389902285167,0.1475964218378067,14.573482931131137,0.24941231980919837
38,246.76,0.46770895634378706,0.48631385530212096,0.44910405852964946,20.282446479797365,1.5189727506467274,0.18763473821537835,0.14837437582512697,14.593265772238828,0.24356554200251898
39,237.3,0.48994126256023135,0.5139004086011223,0.4659821201648031,20.00142511640276,1.497889899781772,0.1850353519831385,0.15903790419300398,14.007988446452703,0.20130673398574192
40,276.05,0.47447104113442556,0.4747864114253649,0.47415567157523975,19.75670623779297,1.5308445653745106,0.18225861681359154,0.1499162678917249,14.463960605646093,0.2492943674325943
