epoch,seconds,loss_D,loss_D_real,loss_D_fake,loss_G,loss_G_GAN,loss_G_L1,val_mae,val_psnr,val_ssim
1,331.53,1.2686714853559222,1.493888663819858,1.0434542845402446,34.220453235081266,1.7895550280809402,0.32430898121425084,0.16028174112240473,14.204698669679747,0.2488905258476734
2,258.14,0.3224253788590431,0.32474613189697266,0.32010462273444446,29.960202707563127,0.5866932715688433,0.29373509543282644,0.15984248667955397,14.24771815525792,0.2670106632014116
3,238.55,0.22202804940087453,0.22625319329755647,0.21780290667499816,29.52313619341169,0.5645553601639611,0.2895858074937548,0.1616875149309635,14.222297187821145,0.26782097592949866
4,242.04,0.19847753910081728,0.20160675016897064,0.19534832638289248,28.927950586591447,0.5783897382872445,0.2834956066949027,0.16046733756860096,14.26596859181591,0.27576153228680295
5,237.64,0.26454313940235546,0.2741616315075329,0.25492464303970336,28.783186313084194,0.6379509159496852,0.2814523532986641,0.15514721808334192,14.512275799867629,0.28642499024669327
6,229.8,0.22402011070932662,0.23091121528829847,0.2171290079929999,27.81335402897426,0.575215282184737,0.272381388928209,0.15270951613783837,14.58832627094199,0.2934555232524872
7,216.34,0.20544916221073695,0.213781310032521,0.19711701329797507,27.11884514944894,0.5099621887717928,0.26608882993459704,0.15403225645422935,14.500966466911684,0.294073798507452
8,220.75,0.2063513172524316,0.2165316997894219,0.1961709334381989,26.870835876464845,0.5314549976161548,0.26339380890131,0.15123441480100155,14.727032003412491,0.293935347845157
9,213.35,0.20089971721172334,0.20835646225937776,0.19344297386705875,26.21065401349749,0.5797991956983294,0.2563085494296891,0.15369806891928117,14.575649610617821,0.29689228112498917
10,222.6,0.20229256578854152,0.21098553405276366,0.19359959810972213,25.799211583818707,0.57597719005176,0.25223234444856646,0.15595636405050756,14.53746050991733,0.2955199211835861
11,225.0,0.21876799794180052,0.2269453707018069,0.21059062531484024,25.04238521030971,0.5579759470054082,0.24484409328017917,0.15207493441800277,14.615548299683274,0.30615604172150296
12,216.31,0.19680653118661473,0.20225033557840755,0.1913627255441887,24.699715042114256,0.5923267688070025,0.24107388321842466,0.15448116747041543,14.579837754984801,0.3042375127474467
13,216.53,0.19056708259241922,0.19673422457916395,0.18439994153699704,24.299909373692103,0.5993540887321744,0.23700555350099292,0.15049632526934148,14.734112251354594,0.3049162946641445
