epoch,seconds,loss_D,loss_D_real,loss_D_fake,loss_G,loss_G_GAN,loss_G_L1,val_mae,val_psnr,val_ssim
1,34.95,0.6067520758935383,0.6038895402635847,0.6096146098205022,33.95093171255929,1.2254390375954765,0.3272549282227244,0.17408221041162808,13.70399961913935,0.2290986366569996
2,29.81,0.3100388269339289,0.29551178930061206,0.32456586190632414,33.01060049874442,2.1556062579154966,0.30854994186333246,0.19179666141668955,12.805969233199145,0.22783292817572753
3,28.97,0.3570014920617853,0.3610005005129746,0.3530024870697941,33.11352904183524,2.1506178481238227,0.3096291122691972,0.17656265534460544,13.479370117364944,0.23009394543866316
4,27.2,0.3176689522606986,0.31943897769919466,0.31589892682220255,33.18788642883301,2.139173138993127,0.31048713411603657,0.1849852494895458,12.99081964111434,0.23133146837353707
5,29.73,0.31334698402455874,0.31439747091914927,0.31229649569307055,33.155064174107146,2.233574252682073,0.3092148985181536,0.1758628450334072,13.442322125862471,0.20713462543984254
6,75.43,0.28379690290561743,0.3101821448121752,0.2574116613183703,33.750737054007395,2.386002791779382,0.3136473440698215,0.1687569096684456,13.726425957250202,0.2326211736847957
7,91.13,0.331514390877315,0.31776408864451305,0.34526469542511873,32.51885452270508,2.313362295286996,0.302054925262928,0.23398281236489613,11.062032056082598,0.20887139886617662
8,90.29,0.38888985493353434,0.4198083658569625,0.35797134217407023,31.491127286638534,2.240231306957347,0.29250895785433906,0.16305855847895145,13.83829848935426,0.2061330499748389
9,33.92,0.3546874185757978,0.3503602371484573,0.35901460062180246,30.39417326790946,2.1611788392066957,0.2823299452662468,0.17263089741269746,13.397399216892559,0.20267347370584807
10,33.0,0.3899486658828599,0.4074001363212509,0.37249719255736896,30.059397097996303,2.030598479083606,0.2802879865680422,0.1670898982634147,13.664172396768999,0.21829812775055568
11,41.19,0.39697754691754067,0.3931392774518047,0.40081581688885176,29.204967389787946,1.987334018094199,0.27217633383614676,0.1612868105371793,13.95391145945406,0.23021640951434771
12,32.81,0.4340377738433225,0.45954159921301263,0.4085339471165623,28.86675807407924,1.9074925337518964,0.2695926547050476,0.16656988735000292,13.646135194650409,0.20936018178860347
13,31.07,0.38300292896372934,0.3969193679014487,0.36908648679299016,28.29002320425851,1.8865754621369497,0.26403447666338514,0.16576823306580385,13.632350401037739,0.21254229346911113
14,31.81,0.4202688406620707,0.4710751224043114,0.3694625516555139,27.751633426121302,1.858835076860019,0.2589279843228204,0.15811757644017538,14.01375472999096,0.21210177354514598
15,35.64,0.4327519281634263,0.42929092418801573,0.4362129313072988,27.60425720214844,1.8392526643616813,0.2576500451990536,0.1688344622651736,13.330746499332173,0.19213704330225786
16,33.41,0.3951155498623848,0.42163058929145336,0.3686005098479135,26.949613053458076,1.7613686501979828,0.2518824449607304,0.15821486264467238,13.960405233514296,0.21697084357341131
17,31.57,0.4104076851691518,0.43176440693038914,0.38905096889606544,26.98188522883824,1.8592814815895897,0.2512260377407074,0.16016482866058748,13.897450967310123,0.23852436343828837
18,30.25,0.4087324927960123,0.42506750468164683,0.3923974821077926,26.549726922171455,1.824400931596756,0.24725326129368375,0.1559038287649552,14.129840360139035,0.2289778648565213
19,33.11,0.41551137396267485,0.4433329412048416,0.3876898072127785,26.22742669241769,1.753313240621771,0.24474113498415265,0.15706177602211635,13.973082388743816,0.21299813675383727
20,33.1,0.4250875032373837,0.4438042432335871,0.40637076630124025,25.83681447165353,1.7891580160175051,0.2404765633600099,0.15797704967359702,13.856313192566013,0.21367934110263984
21,30.24,0.41607320926019126,0.4325922868746732,0.3995541327233825,26.048934745788575,1.7548787257501057,0.24294055998325348,0.15503840061525503,14.050750277284754,0.22677316392461458
22,32.56,0.42699449615819113,0.4717512748204172,0.3822377202234098,25.70770432608468,1.712481534055301,0.2399522291762488,0.14603648719688256,14.597107341037717,0.23921166037519773
