epoch,seconds,loss_D,loss_D_real,loss_D_fake,loss_G,loss_G_GAN,loss_G_L1,loss_G_FM,val_mae,val_psnr,val_ssim
1,375.72,0.46369915338499207,0.46794807612895967,0.45945022787366596,37.25046078818185,0.6013908573559352,0.3347503239555018,0.31740375299538887,0.1750791698694229,13.776243339939937,0.24001081759730974
2,313.99,0.2140581376850605,0.21173700919108732,0.2163792660193784,35.29475108555385,0.5566760395254408,0.31413489931396077,0.3324585065245628,0.172854283452034,13.678007354404894,0.2527392836908499
3,286.92,0.17360856562320676,0.17418656777590513,0.1730305620336107,34.77981113706316,0.6867392169577735,0.30783883886677876,0.3309188126453331,0.16599217938880126,14.048380989598416,0.2620705544948578
4,295.18,0.14267493800393172,0.1432707226436053,0.14207915454836828,34.4462976864406,0.7563916308539255,0.3046693119619574,0.32229749368769783,0.17139068009952704,13.882487389066222,0.2640481650829315
5,261.42,0.11076870478157486,0.11281930578074285,0.10871810262490596,33.516641344342915,0.8393445066043309,0.2952117399445602,0.31561228962881227,0.166222121194005,14.09449326349187,0.2751502131422361
6,250.38,0.10126996197338616,0.1018827146318342,0.1006572094612888,33.34715262821742,0.8546354857938631,0.29339697499360357,0.31528196228402,0.1582229994237423,14.42964009683259,0.2842631993194421
7,255.96,0.0933855942982648,0.09433812672006232,0.09243306183655348,32.779623426709854,0.8895862228104047,0.288126222469977,0.3077415142740522,0.15727357032398384,14.281656377077177,0.28219322115182877
8,254.88,0.07619084689233985,0.07915253315919211,0.07322916033278619,32.69561882019043,0.8932755425572395,0.28765543954713,0.30367992743849753,0.16184442912538846,14.33101295936694,0.2764160007238388
9,274.27,0.06463572694254772,0.06698688277974725,0.06228457104547747,32.200011253356934,0.9191759765148163,0.28286202219980106,0.2994633218007428,0.1574551514039437,14.488034821949016,0.2792321508129438
10,260.02,0.06005553222660508,0.06198369597217866,0.058127368254853144,31.792610250200543,0.932930808195046,0.2793148065784148,0.2928199000656605,0.15430897747476896,14.54483287651172,0.2763185997804006
11,270.63,0.06392923234961927,0.06499591528304986,0.06286254983528385,31.600589193616596,0.9288019405944007,0.2778594513556787,0.28858419816408837,0.15014825748900573,14.563240691824072,0.27979341298341753
12,276.58,0.06181562045322997,0.06223376030767602,0.06139748146358345,31.420720999581473,0.9172091169016702,0.2766308358205216,0.2840428361935275,0.1517577479283015,14.544344096181499,0.2820561024049918
13,277.63,0.06463715475983918,0.06784202802394118,0.06143228102342359,30.98444296973092,0.9078461836491313,0.27297382078000476,0.27792146248476846,0.15602410112818083,14.353497936519625,0.24877418528000514
